firstname,lastname,email,date_hired,title,role_id,training_package_id,reminder_email,tags
Jael,Barrera,test0010@crossroadstech.net,11/26/2016,red,4,1,FALSE,"1, 6, 10"
Marah,Gilliam,test0020@crossroadstech.net,1/8/2017,indigo,1,1,FALSE,"1, 6, 10"
Hiram,Calderon,test0030@crossroadstech.net,4/4/2017,orange,4,1,TRUE,"1, 6, 10"
Teegan,Clarke,test0040@crossroadstech.net,10/8/2016,indigo,2,1,TRUE,"1, 6, 10"
Flynn,Stewart,test0050@crossroadstech.net,11/21/2017,green,2,1,FALSE,"1, 6, 10"
Gretchen,Ferrell,test0060@crossroadstech.net,5/12/2017,green,3,1,FALSE,"1, 6, 10"
Jesse,Sykes,test0070@crossroadstech.net,12/16/2016,violet,4,1,TRUE,"1, 6, 10"
Deacon,Parrish,test0080@crossroadstech.net,11/15/2016,orange,4,1,FALSE,"1, 6, 10"
Veda,Bush,test0090@crossroadstech.net,3/29/2017,orange,2,1,TRUE,"1, 6, 10"
Winifred,Pugh,test0100@crossroadstech.net,2/3/2017,green,2,1,FALSE,"1, 6, 10"
Melvin,Richard,test0110@crossroadstech.net,11/14/2016,orange,3,1,FALSE,"1, 6, 10"
Sigourney,Snyder,test0120@crossroadstech.net,1/31/2017,blue,1,1,TRUE,"1, 6, 10"
Perry,Keller,test0130@crossroadstech.net,12/26/2016,indigo,2,1,TRUE,"1, 6, 10"
Zahir,Erickson,test0140@crossroadstech.net,4/25/2018,red,3,1,TRUE,"1, 6, 10"
Tamara,Mason,test0150@crossroadstech.net,3/10/2018,blue,4,1,TRUE,"1, 6, 10"
Hu,Clay,test0160@crossroadstech.net,8/15/2017,blue,4,1,TRUE,"1, 6, 10"
Montana,Mckay,test0170@crossroadstech.net,8/23/2016,orange,4,1,FALSE,"1, 6, 10"
Karyn,Chavez,test0180@crossroadstech.net,7/17/2016,green,2,1,TRUE,"1, 6, 10"
Benedict,Black,test0190@crossroadstech.net,5/31/2017,violet,4,1,TRUE,"1, 6, 10"
Boris,Griffin,test0200@crossroadstech.net,9/24/2016,violet,3,1,FALSE,"1, 6, 10"
Dominique,Hancock,test0210@crossroadstech.net,2/26/2017,green,2,1,FALSE,"1, 6, 10"
Eaton,Mckee,test0220@crossroadstech.net,5/16/2017,violet,2,1,FALSE,"1, 6, 10"
Xantha,Weaver,test0230@crossroadstech.net,6/1/2018,green,1,1,TRUE,"1, 6, 10"
Alec,Jennings,test0240@crossroadstech.net,12/11/2017,violet,1,1,FALSE,"1, 6, 10"
Dolan,Schultz,test0250@crossroadstech.net,12/27/2017,red,2,1,FALSE,"1, 6, 10"
Quinn,Bentley,test0260@crossroadstech.net,2/2/2017,orange,4,1,FALSE,"1, 6, 10"
Darrel,Roberson,test0270@crossroadstech.net,1/22/2017,yellow,4,1,FALSE,"1, 6, 10"
Fulton,Henson,test0280@crossroadstech.net,2/12/2017,blue,4,1,TRUE,"1, 6, 10"
Gil,Pate,test0290@crossroadstech.net,7/16/2017,blue,2,1,TRUE,"1, 6, 10"
Karleigh,Everett,test0300@crossroadstech.net,1/28/2017,green,4,1,FALSE,"1, 6, 10"
Savannah,Wooten,test0310@crossroadstech.net,2/20/2017,orange,3,1,FALSE,"1, 6, 10"
Jena,Hahn,test0320@crossroadstech.net,6/11/2018,red,1,1,FALSE,"1, 6, 10"
Aidan,Mann,test0330@crossroadstech.net,11/1/2016,orange,2,1,TRUE,"1, 6, 10"
Tatyana,Benson,test0340@crossroadstech.net,10/4/2016,indigo,2,1,FALSE,"1, 6, 10"
Myra,Erickson,test0350@crossroadstech.net,7/16/2016,blue,1,1,FALSE,"1, 6, 10"
Sarah,Jennings,test0360@crossroadstech.net,8/28/2016,blue,1,1,TRUE,"1, 6, 10"
Devin,Sweeney,test0370@crossroadstech.net,12/23/2016,orange,2,1,TRUE,"1, 6, 10"
Samson,Ortiz,test0380@crossroadstech.net,9/25/2017,violet,2,1,TRUE,"1, 6, 10"
Matthew,Holman,test0390@crossroadstech.net,12/21/2017,indigo,1,1,TRUE,"1, 6, 10"
Callum,Newton,test0400@crossroadstech.net,1/31/2017,violet,1,1,TRUE,"1, 6, 10"
Sonia,Carroll,test0410@crossroadstech.net,1/16/2018,violet,1,1,FALSE,"1, 6, 10"
Jelani,Holloway,test0420@crossroadstech.net,11/2/2016,indigo,1,1,TRUE,"1, 6, 10"
Ray,Kirkland,test0430@crossroadstech.net,11/10/2017,blue,2,1,TRUE,"1, 6, 10"
